time,wealth,reward,drawdown,action,daily_return,shares
2026-01-05,1.018334313545848,0.018334313545848024,0.0,"[0.19873707458839923, 0.1956399750337165, 0.20166202038088396, 0.2026799482492704, 0.2012809817477299]",,"[69.50966602883713, 106.033322932675, 248.09596304605785, 18.63921871821697, 23.471484739022273]"
2026-01-06,1.0219007278882375,0.003502203839101936,0.0,"[0.20307899451336428, 0.19404521846865194, 0.1986139156281902, 0.20062340936156553, 0.20363846202822816]",0.003502203839101936,"[69.50966602883713, 106.033322932675, 248.09596304605785, 18.63921871821697, 23.471484739022273]"
2026-01-07,1.0108951215499635,-0.02153948233507414,0.010769741167536989,"[0.20139412125739148, 0.19811683405944622, 0.2001165881405911, 0.19602655637081995, 0.20434590017175122]",-0.01076974116753704,"[69.50966602883713, 106.033322932675, 248.09596304605785, 18.63921871821697, 23.471484739022273]"
2026-01-08,1.028672614191407,0.017585892208270115,0.0,"[0.2019088435611647, 0.1905028371703445, 0.20438907273208978, 0.1949377650750427, 0.20826148146135828]",0.017585892208269893,"[69.50966602883713, 106.033322932675, 248.09596304605785, 18.63921871821697, 23.471484739022273]"
2026-01-09,1.0256496652360865,-0.005877378115479191,0.00293868905773955,"[0.2035073767937138, 0.19087844151431788, 0.1995494547957606, 0.19500552282404468, 0.21105920407216294]",-0.0029386890577395297,"[69.50966602883713, 106.033322932675, 248.09596304605785, 18.63921871821697, 23.471484739022273]"
2026-01-12,1.0362964790237497,0.010380556001266195,0.0,"[0.20668666656326734, 0.18899913791845002, 0.19757079243831419, 0.19374199422761307, 0.21300140885235536]",0.010380556001266195,"[69.50966602883713, 106.033322932675, 248.09596304605785, 18.63921871821697, 23.471484739022273]"
2026-01-13,1.0316512936869844,-0.008964973693901437,0.004482486846950699,"[0.20161850993527963, 0.19074323923307238, 0.19927432021670785, 0.19466437097727488, 0.21369955963766532]",-0.0044824868469507395,"[69.50966602883713, 106.033322932675, 248.09596304605785, 18.63921871821697, 23.471484739022273]"
2026-01-14,1.03043086972944,-0.006843146301995537,0.005660165225916255,"[0.20576580120209723, 0.18822500127546293, 0.19469276826280968, 0.1953081298963161, 0.21600829936331406]",-0.0011829810760792814,"[69.50966602883713, 106.033322932675, 248.09596304605785, 18.63921871821697, 23.471484739022273]"
2026-01-15,1.0394739122948473,0.008775981806311561,0.0,"[0.19666235399985854, 0.1905711383826419, 0.1922387144157098, 0.20509947344435275, 0.21542831975743715]",0.008775981806311561,"[69.50966602883713, 106.033322932675, 248.09596304605785, 18.63921871821697, 23.471484739022273]"
2026-01-16,1.0464873428341106,0.006747096253507445,0.0,"[0.20040577266172402, 0.18846410210549636, 0.19073795383144593, 0.20487332382848186, 0.21551884757285195]",0.006747096253507445,"[69.50966602883713, 106.033322932675, 248.09596304605785, 18.63921871821697, 23.471484739022273]"
2026-01-20,1.010947557596871,-0.06792205463467985,0.03396102731733989,"[0.1977323894195506, 0.18654135118088958, 0.19008988969504706, 0.20239049437618237, 0.22324587532833046]",-0.033961027317339854,"[69.50966602883713, 106.033322932675, 248.09596304605785, 18.63921871821697, 23.471484739022273]"
2026-01-21,1.0360944908376724,0.014943439015600623,0.009931177923559199,"[0.197032304627018, 0.1873801198136768, 0.19291340129816337, 0.200644907685313, 0.22202926657582875]",0.02487461693915982,"[69.50966602883713, 106.033322932675, 248.09596304605785, 18.63921871821697, 23.471484739022273]"
2026-01-22,1.0368758051685196,-0.008430475715594127,0.00918457134852762,"[0.19498473675916428, 0.1887913960651385, 0.1932682423937602, 0.20260380614844983, 0.22035181863348727]",0.0007540956329337156,"[69.50966602883713, 106.033322932675, 248.09596304605785, 18.63921871821697, 23.471484739022273]"
2026-01-23,1.0345859782695865,-0.013581069652966389,0.011372678939711429,"[0.1939374135335654, 0.192106140441059, 0.19021071491395108, 0.20130449461591798, 0.2224412364955066]",-0.0022083907132550706,"[69.50966602883713, 106.033322932675, 248.09596304605785, 18.63921871821697, 23.471484739022273]"
2026-01-26,1.0325178508771178,-0.015347925775141536,0.013348935419668296,"[0.19691074960267035, 0.19126010814751723, 0.1899937128146321, 0.20021352983863652, 0.22162189959654388]",-0.0019989903554732402,"[69.50966602883713, 106.033322932675, 248.09596304605785, 18.63921871821697, 23.471484739022273]"
2026-01-27,1.0456920780917742,0.011999384223219124,0.0007599372775810461,"[0.19280932530809916, 0.1909266723350849, 0.2040147572657902, 0.19507354758541123, 0.21717569750561444]",0.01275932150080017,"[69.50966602883713, 106.033322932675, 248.09596304605785, 18.63921871821697, 23.471484739022273]"
2026-01-28,1.0459574574141168,-0.0002525632769924136,0.0005063467070310924,"[0.19295720905598573, 0.19391576601001279, 0.20046838845679182, 0.19766387336218025, 0.2149947631150294]",0.0002537834300389008,"[69.50966602883713, 106.033322932675, 248.09596304605785, 18.63921871821697, 23.471484739022273]"
2026-01-29,1.0599907269950901,0.013416673385232558,0.0,"[0.2001635528704189, 0.19233760989195842, 0.20098313213796035, 0.19610945643415342, 0.21040624866550892]",0.013416673385232336,"[69.50966602883713, 106.033322932675, 248.09596304605785, 18.63921871821697, 23.471484739022273]"
2026-01-30,1.0469176886473714,-0.024666325873960598,0.012333162936980318,"[0.2009984230777476, 0.19334338889529865, 0.19816135444069602, 0.19700190147684304, 0.21049493210941483]",-0.01233316293698028,"[69.50966602883713, 106.033322932675, 248.09596304605785, 18.63921871821697, 23.471484739022273]"
2026-02-02,1.0539690569929756,0.20844302412808197,0.0056808704536359615,"[0.2048810083243383, 0.18650329786540149, 0.1974682729497882, 0.19580984347603042, 0.21533757738444162]",0.006735360785349309,"[69.50966602883713, 106.033322932675, 248.09596304605785, 18.63921871821697, 23.471484739022273]"
2026-02-03,1.0310359898569355,0.026299392066221672,0.027316028716814218,"[0.19584957035345982, 0.18523848008782756, 0.20530989573862016, 0.19130160356983, 0.2223004502502624]",-0.021758766999734558,"[69.50966602883713, 106.033322932675, 248.09596304605785, 18.63921871821697, 23.471484739022273]"
2026-02-04,1.0235678839470153,-0.021548681814790735,0.03436147328508051,"[0.1937526827047845, 0.18022687480474828, 0.2082073535831651, 0.19379223912066254, 0.22402084978663953]",-0.007243302836554166,"[69.50966602883713, 106.033322932675, 248.09596304605785, 18.63921871821697, 23.471484739022273]"
2026-02-05,1.0129402762057869,-0.03010269835294868,0.044387606033765986,"[0.19635449025945673, 0.1797026488026209, 0.20310162705948934, 0.1919386925309893, 0.22890254134744364]",-0.010382904649417934,"[69.50966602883713, 106.033322932675, 248.09596304605785, 18.63921871821697, 23.471484739022273]"
2026-02-06,1.0388662439986316,0.02252291763983775,0.01992893188447334,"[0.19742459087473557, 0.18901074646773006, 0.2002677106666604, 0.1874289646413244, 0.22586798734954958]",0.02559476447116582,"[69.50966602883713, 106.033322932675, 248.09596304605785, 18.63921871821697, 23.471484739022273]"
