time,wealth,reward,drawdown,action,daily_return,predicted_up_probability,strategy_signal
2026-01-05,1.019941913898451,0.01994191389845079,0.0,"[0.0, 0.25, 0.25, 0.25, 0.25]",,"[0.0, 1.0, 1.0, 1.0, 1.0]","[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2026-01-06,1.0236483505400842,0.003633968357537388,0.0,"[0.19989979959919843, 0.20170340681362725, 0.19539078156312628, 0.1993987975951904, 0.20360721442885774]",0.003633968357537487,"[0.5248618784530387, 0.5295974743488555, 0.5130228887134964, 0.5235464351486451, 0.5345961589055511]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1]"
2026-01-07,1.0127886000540964,-0.021217736501520312,0.010608868250760205,"[0.2, 0.2, 0.2, 0.2, 0.2]",-0.01060886825076024,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1]"
2026-01-08,1.0206694030382957,0.004871163383671252,0.002910127779932235,"[0.0, 0.5, 0.0, 0.0, 0.5]",0.007781291163603488,"[0.0, 0.5, 0.0, 0.0, 0.5]","[1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0]"
2026-01-09,1.0178310396319663,-0.008463803431996299,0.005682919241796877,"[0.19989979959919843, 0.20170340681362725, 0.19539078156312628, 0.1993987975951904, 0.20360721442885774]",-0.0027808841901992842,"[0.5248618784530387, 0.5295974743488555, 0.5130228887134964, 0.5235464351486451, 0.5345961589055511]","[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1]"
2026-01-12,1.0182715587722329,-0.004819775152427922,0.005252576986046523,"[0.0, 1.0, 0.0, 0.0, 0.0]",0.00043280183361860125,"[0.0, 1.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1]"
2026-01-13,1.0094425317101128,-0.022548237292143652,0.013877635637742507,"[0.3333333333333333, 0.0, 0.3333333333333333, 0.0, 0.3333333333333333]",-0.008670601654401033,"[1.0, 0.0, 1.0, 0.0, 1.0]","[1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1]"
2026-01-14,1.0079433373204831,-0.016827366218962903,0.015342195599997764,"[0.2, 0.2, 0.2, 0.2, 0.2]",-0.001485170618965137,"[0.0, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0]"
2026-01-15,1.017457161342011,0.0033906878815364097,0.006048160185875111,"[0.19989979959919843, 0.20170340681362725, 0.19539078156312628, 0.1993987975951904, 0.20360721442885774]",0.009438848067411465,"[0.5248618784530387, 0.5295974743488555, 0.5130228887134964, 0.5235464351486451, 0.5345961589055511]","[1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1]"
2026-01-16,1.0242352331684978,0.006661776125833865,0.0,"[0.19989979959919843, 0.20170340681362725, 0.19539078156312628, 0.1993987975951904, 0.20360721442885774]",0.0066617761258338515,"[0.5248618784530387, 0.5295974743488555, 0.5130228887134964, 0.5235464351486451, 0.5345961589055511]","[0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1]"
2026-01-20,0.9889516242012379,-0.06889747164449547,0.03444873582224774,"[0.19989979959919843, 0.20170340681362725, 0.19539078156312628, 0.1993987975951904, 0.20360721442885774]",-0.03444873582224772,"[0.5248618784530387, 0.5295974743488555, 0.5130228887134964, 0.5235464351486451, 0.5345961589055511]","[1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1]"
2026-01-21,1.0138271686169267,0.014991658001725191,0.010161791173081948,"[0.19989979959919843, 0.20170340681362725, 0.19539078156312628, 0.1993987975951904, 0.20360721442885774]",0.025153449174807108,"[0.5248618784530387, 0.5295974743488555, 0.5130228887134964, 0.5235464351486451, 0.5345961589055511]","[0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1]"
2026-01-22,1.0148043999150522,-0.008243779665731612,0.009207682911152258,"[0.19989979959919843, 0.20170340681362725, 0.19539078156312628, 0.1993987975951904, 0.20360721442885774]",0.0009639032454207275,"[0.5248618784530387, 0.5295974743488555, 0.5130228887134964, 0.5235464351486451, 0.5345961589055511]","[1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]"
