time,wealth,reward,drawdown,action,daily_return
2026-01-05,1.022432277154401,0.022432277154401,0.0,"[0.9968072175979614, 0.03936013579368591, 0.7819553017616272, 0.849144697189331, 0.004051387310028076]",
2026-01-06,1.0263265903874885,0.0038088715703755546,0.0,"[0.18769991397857666, 0.1332486867904663, 0.13421475887298584, 0.08218425512313843, 0.0010650157928466797]",0.0038088715703754605
2026-01-07,1.016023865375762,-0.02007689386248231,0.01003844693124114,"[0.4309758245944977, 0.9868199229240417, 0.9573062658309937, 0.9995764493942261, 0.37465518712997437]",-0.010038446931241118
2026-01-08,1.024281002060645,0.006133795770236945,0.00199311636861248,"[0.663591206073761, 0.7549017667770386, 0.35768696665763855, 0.7790114879608154, 0.008949875831604004]",0.008126912138849418
2026-01-09,1.0189298546968337,-0.012431296171529249,0.007206999954918998,"[0.13288438320159912, 0.9835403561592102, 0.9926304221153259, 0.047280311584472656, 0.9890093803405762]",-0.005224296216610358
2026-01-12,1.0287317924358166,0.009619835647959535,0.0,"[0.8617451786994934, 0.9702814817428589, 0.8181677460670471, 0.9956275224685669, 0.7944926023483276]",0.00961983564795954
2026-01-13,1.0251248547574612,-0.007012396632196875,0.0035061983160984537,"[0.6686344146728516, 0.7473791837692261, 0.892301082611084, 0.9908227920532227, 0.14069461822509766]",-0.003506198316098441
2026-01-14,1.0233027486416233,-0.00705486221727895,0.0052774142241083805,"[0.49395668506622314, 0.21421074867248535, 0.9232538938522339, 0.9949173927307129, 0.7931205034255981]",-0.0017774479931705889
2026-01-15,1.0337780355979824,0.010236742713986188,0.0,"[0.9323608875274658, 0.7171934247016907, 0.718505322933197, 0.9313731789588928, 0.13261842727661133]",0.010236742713986224
2026-01-16,1.039333040712841,0.005373498878456357,0.0,"[0.3435600697994232, 0.3876897692680359, 0.7318624258041382, 0.03294721245765686, 0.8155666589736938]",0.005373498878456395
2026-01-20,0.9962855126826315,-0.08283683159093003,0.04141841579546499,"[0.5308326482772827, 0.9499959349632263, 0.8882189393043518, 0.9566439390182495, 0.13108548521995544]",-0.04141841579546501
2026-01-21,1.018688228687081,0.0026227214527650942,0.019863519408177693,"[0.7671222686767578, 0.0012479126453399658, 0.05540651082992554, 1.2576580047607422e-05, 0.010325908660888672]",0.022486240860942752
2026-01-22,1.0198617093554327,-0.01758249581799908,0.01873444853062067,"[0.9878289699554443, 0.05497467517852783, 0.9330731630325317, 0.9624075889587402, 0.01163598895072937]",0.0011519527126215845
2026-01-23,1.0212009418280936,-0.01613274759494278,0.01744589864314442,"[0.2162572741508484, 0.9671633243560791, 0.1199755072593689, 0.9395790100097656, 0.0033991634845733643]",0.0013131510482016218
2026-01-26,1.0246846649045336,-0.010682617108343277,0.014094015329543037,"[0.727346658706665, 0.5322701334953308, 0.21813374757766724, 0.03127220273017883, 0.022851884365081787]",0.003411398221199846
2026-01-27,1.0337571707962563,0.0034890952247743903,0.0053648538997282,"[0.31131768226623535, 0.105807363986969, 0.48800966143608093, 0.8452517986297607, 0.8882585167884827]",0.008853949124502547
2026-01-28,1.032843019043246,-0.007128710312950358,0.006244410035443134,"[0.9966309070587158, 0.45494380593299866, 0.4670540690422058, 0.002164214849472046, 0.22262853384017944]",-0.0008843002775072994
2026-01-29,1.0668993607122785,0.0329733958027619,0.0,"[0.7890361547470093, 0.05908408761024475, 0.16391906142234802, 0.18431249260902405, 0.11987268924713135]",0.03297339580276182
2026-01-30,1.0534592266029617,-0.025194755202297695,0.012597377601148846,"[0.9867810606956482, 0.14685195684432983, 0.43399491906166077, 0.16398411989212036, 3.62396240234375e-05]",-0.012597377601148874
2026-02-02,1.077639077666485,0.25097438915207887,0.0,"[0.9999995827674866, 0.06184551119804382, 0.0011893510818481445, 0.0, 1.2516975402832031e-06]",0.02295281151174211
2026-02-03,1.0079229578723672,-0.08823672906477326,0.06469338504787783,"[0.7929610013961792, 0.004098176956176758, 0.0, 0.0, 0.0]",-0.0646933850478778
2026-02-04,0.9899089893936052,-0.15577358267269442,0.08140952763410382,"[1.0, 0.0, 0.0, 0.0, 4.76837158203125e-07]",-0.01787236647212387
2026-02-05,0.9759088612527305,-0.17805354606445967,0.09440100913381941,"[0.00039654970169067383, 1.0, 1.0, 1.0, 1.0]",-0.014142843726927756
2026-02-06,1.0090899750084563,-0.08516940877191874,0.06361044627897555,"[0.0, 1.0, 1.0, 0.0, 1.0]",0.0340002177182126
2026-02-09,1.0124653123871625,-0.06307787267864265,0.06047828686803887,"[1.0, 0.0, 0.0, 1.0, 1.0]",0.0033449320301472962
2026-02-10,1.003847711724777,-0.11129687615095003,0.06847502793003339,"[0.9968746900558472, 0.0, 1.0, 0.9999926090240479, 0.9999846816062927]",-0.008511502129457837
