time,wealth,reward,drawdown,action,daily_return
2026-01-05,1.0260822908817184,0.026082290881718526,0.0,"[0.2707197070121765, 0.010079920291900635, 0.0018230676651000977, 0.7723175287246704, 0.33921945095062256]",
2026-01-06,1.0338169070141667,0.007538007624906899,0.0,"[0.5103615522384644, 0.5978859663009644, 0.021801352500915527, 0.5888553261756897, 0.9025144577026367]",0.007538007624906973
2026-01-07,1.0329676163251753,-0.0016430195390096268,0.0008215097695048471,"[0.08916023373603821, 0.7580620646476746, 0.055270612239837646, 0.0013160407543182373, 0.9821982383728027]",-0.0008215097695049023
2026-01-08,1.038902062551937,0.005745045762299547,0.0,"[0.003317892551422119, 0.9995524883270264, 0.07033652067184448, 1.043081283569336e-06, 0.792798638343811]",0.0057450457622996165
2026-01-09,1.041965132938786,0.002948372611105453,0.0,"[0.3567873537540436, 0.8628027439117432, 0.02718496322631836, 0.5174102187156677, 0.8439664244651794]",0.0029483726111054764
2026-01-12,1.0424386938360732,0.0004544882379620765,0.0,"[0.0005815625190734863, 0.999876856803894, 0.007343977689743042, 0.000878065824508667, 0.00023114681243896484]",0.0004544882379620141
2026-01-13,1.0472352803094076,0.004601312769466799,0.0,"[0.0013982057571411133, 0.9973697662353516, 0.057207345962524414, 0.006237715482711792, 2.002716064453125e-05]",0.004601312769466848
2026-01-14,1.0322384635366948,-0.02864077835170315,0.014320389175851647,"[0.003096073865890503, 0.9994474649429321, 0.025279760360717773, 0.0012935996055603027, 0.007190048694610596]",-0.014320389175851655
2026-01-15,1.0851821761382705,0.05129019550402898,0.0,"[0.00012412667274475098, 0.004380404949188232, 0.13476985692977905, 0.941291093826294, 4.112720489501953e-06]",0.051290195504029024
2026-01-16,1.0875758054524276,0.002205739613854708,0.0,"[0.02225819230079651, 0.11875560879707336, 0.9572849869728088, 0.9999990463256836, 2.9802322387695312e-08]",0.002205739613854618
2026-01-20,1.0446561003159425,-0.07892728933709728,0.03946364466854859,"[0.20038723945617676, 0.9500409960746765, 0.9347612857818604, 0.001527637243270874, 0.08842775225639343]",-0.03946364466854857
2026-01-21,1.0809094082668103,0.0285739882110249,0.006129593130148889,"[3.2782554626464844e-07, 0.9999921321868896, 0.9678360223770142, 7.152557373046875e-07, 0.0]",0.034703581341173795
2026-01-22,1.0879115997668376,0.006478055835645852,0.0,"[0.0211561918258667, 2.9802322387695312e-08, 0.9541637897491455, 1.0, 8.940696716308594e-08]",0.006478055835645868
2026-01-23,1.0735026290694027,-0.026489230743606332,0.013244615371803187,"[0.005871951580047607, 0.0020674467086791992, 0.9959418773651123, 0.9999997019767761, 0.0]",-0.013244615371803214
2026-01-26,1.067842419293819,-0.023720092511076554,0.018447436792952562,"[2.980232238769531e-07, 1.7881393432617188e-07, 0.9999417662620544, 0.9999997615814209, 0.0]",-0.005272655718123853
